step no.,uptime,x,y,z,u,v,w,p,q,r,p_m,q_m,r_m,p_t,q_t,r_t,lm_p,lm_q,lm_r
46,8.87800689903088,-0.0160915485574960,0.00638751683414294,-0.0956508707000258,0.0346872643609048,0.0542986611877085,0.0327237830538751,0.249995050074667,-0.109085171382301,0.249994584742815,0.0,-0.0,-0.2900000214576721,0.249995050074667,-0.109085171382301,0.0904961433657954,0.0500049499253332,0.409085171382301,0.549994584742815
47,9.086816082010046,-0.0144486292713062,0.00321119263826643,-0.0726291071115064,0.0571728705052653,0.0421205547262350,0.132198795918039,0.249995217710199,-0.158358990550364,0.249994799249462,0.0,-0.0,-0.2900000214576721,0.249995217710199,-0.158358990550364,0.0904962956655102,0.0500047822898012,0.458358990550364,0.549994799249462
48,9.270569817977957,-0.0237652398251689,0.0108339048589995,-0.0794357372804524,0.0260510111335933,0.0594178347025335,0.0639747103784502,0.249995119735852,-0.119363726822923,0.249994518209079,0.0,-0.0,-0.2900000214576721,0.249995119735852,-0.119363726822923,0.0904960961268441,0.0500048802641479,0.419363726822923,0.549994518209079
49,9.467752158059739,-0.0113162055218434,0.00605105659513375,-0.0666721084127900,0.0956399405478362,0.0394401570885304,0.115424744981420,0.249995258460302,-0.180899328973602,0.249994754913823,0.0,-0.0,-0.2900000214576721,0.249995258460302,-0.180899328973602,0.0904962641872073,0.0500047415396976,0.480899328973602,0.549994754913823
50,9.664222268969752,-0.0192968694174188,0.0125434079856320,-0.0744351293586151,0.0443657498539001,0.0611085511476309,0.0535298852913589,0.249994925675256,-0.117761205210244,0.249994435527526,0.0,-0.0,-0.2900000214576721,0.249994925675256,-0.117761205210244,0.0904960374229430,0.0500050743247439,0.417761205210244,0.549994435527526
51,9.87301836698316,-0.0103625321831362,0.00263557003987983,-0.0610314077223257,0.0918561676164188,0.0204121665676155,0.113097124697737,0.249995160367701,-0.189164380613647,0.249994720861233,0.0,-0.0,-0.2900000214576721,0.249995160367701,-0.189164380613647,0.0904962400098687,0.0500048396322994,0.489164380613647,0.549994720861233
52,10.072568404022604,-0.0190956124110038,0.00862635029372253,-0.0689649252113967,0.0404680534238543,0.0480861433288630,0.0526291714022483,0.249994942478120,-0.0599951402738076,0.249994445401772,0.0,-0.0,-0.2900000214576721,0.249994942478120,-0.0599951402738076,0.0904960444336576,0.0500050575218804,0.359995140273808,0.549994445401772
53,10.296973570948467,-0.0140012670500432,0.00595479353048176,-0.0645031348685422,0.0717564485006756,0.0471033459965861,0.0721218845777935,0.249995201469018,-0.145752720770724,0.249994725633663,0.0,-0.0,-0.2900000214576721,0.249995201469018,-0.145752720770724,0.0904962433982944,0.0500047985309816,0.445752720770724,0.549994725633663
54,10.478638384025544,-0.0239652788070131,0.0156389133502270,-0.0719927911529325,0.0300560603900312,0.0616642368076800,0.0375707942111848,0.249995045329591,-0.138159598000721,0.249994591458725,0.0,-0.0,-0.2900000214576721,0.249995045329591,-0.138159598000721,0.0904961481340914,0.0500049546704093,0.438159598000721,0.549994591458725
55,10.686671142000705,-0.0123749567711133,0.00673312461922618,-0.0618102125282723,0.0946859239817767,0.0304707761139779,0.0903459347070365,0.249995227632126,-0.196614080144259,0.249994790129517,0.0,-0.0,-0.2900000214576721,0.249995227632126,-0.196614080144259,0.0904962891903490,0.0500047723678738,0.496614080144259,0.549994790129517
